"id","prediction","detail_id","messstelle","name","name_lang","gewaesser","bezirk","strasse","plz","stadt","gesundheitsamt_name","gesundheitsamt_zusatz","gesundheitsamt_strasse","gesundheitsamt_plz","gesundheitsamt_stadt","gesundheitsamt_mail","gesundheitsamt_telefon","wasserrettung_durch_hilfsorganisationen_dlrg_oder_asb","rettungsschwimmer","barrierefrei","barrierefrei_zugang","barrierefrei_wc","restaurant","imbiss","parken","cyano_moeglich","wc","wc_mobil","hundeverbot","name_lang2","lat","lng","webseite","letzte_eu_einstufung","image"
2,"0",344360,"B334","Alter Hof","Badestelle Alter Hof","Unterhavel","Steglitz Zehlendorf","Uferpromenade","14109.0","Berlin","Bezirksamt Steglitz-Zehlendorf von Berlin","Abteilung Jugend, Gesundheit, Umwelt und Tiefbau, Gesundheitsamt, Fachbereich Gesundheitsschutz und -aufsicht","Robert-Lück-Str. 5","12169.0","Berlin","hygiene@ba-sz.berlin.de","30902993624.0","1","0","0","0","0","0","0","0","1","0","1","1","Badestelle Alter Hof","13.14228","52.4327","","ausgezeichnet","http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-alter_hof_klein.jpg"
4,"0",344320,"B225","Bammelecke","Badestelle Bammelecke","Dahme","Treptow Köpenick","Sportpromenade 1","12527.0","Berlin","Bezirksamt Treptow-Köpenick von Berlin","Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2","Hans-Schmidt-Straße 18","12489.0","Berlin","geshum@ba-tk.berlin.de","30902974773.0","1","0","0","0","0","0","0","0","1","0","0","1","Badestelle Bammelecke","13.62254","52.4075","","ausgezeichnet","http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-bammelecke.jpg"
6,"0",344350,"B332","Breitehorn","Badestelle Breitehorn","Unterhavel","Spandau","Breitehornweg 36/38","14089.0","Berlin","Bezirksamt Spandau von Berlin","Abteilung Soziales und Gesundheit Gesundheitsamt","Carl-Schurz-Str. 2-6","13578.0","Berlin","Ges2@ba-spandau.berlin.de","30902794020.0","0","0","0","0","0","1","0","0","1","0","0","1","Badestelle Breitehorn","13.1798","52.46575","","ausgezeichnet","http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-breitehorn.jpg"
8,"0",344337,"B304","Bürgerablage","Badestelle Oberhavel/Bürgerablage","Oberhavel","Spandau","Niederneuendorfer Allee 84","13587.0","Berlin","Bezirksamt Spandau von Berlin","Abteilung Soziales und Gesundheit Gesundheitsamt","Carl-Schurz-Str. 2-6","13578.0","Berlin","Ges2@ba-spandau.berlin.de","30902794020.0","1","0","0","0","0","1","0","1","1","0","1","1","Badestelle Oberhavel/Bürgerablage","13.21124","52.58499","","ausgezeichnet","http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-dscf0032.jpg"
10,"0",344321,"B105","Dämeritzsee","Badestelle Dämeritzsee","Dämeritzsee","Treptow Köpenick","Kanalstraße","12589.0","Berlin","Bezirksamt Treptow-Köpenick von Berlin","Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2","Hans-Schmidt-Straße 18","12489.0","Berlin","geshum@ba-tk.berlin.de","30902974773.0","0","0","0","0","0","0","0","0","1","0","0","1","Badestelle Dämeritzsee","13.73511","52.42692","","ausgezeichnet","http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-d__meritzsee.jpg"
12,"0",344334,"B920","Flughafensee","Badestelle Flughafensee","Flughafensee","Reinickendorf","Betzdorfer Pfad","13507.0","Berlin","Bezirksamt Reinickendorf von Berlin","Abteilung Gesundheit und Soziales Gesundheitsamt","Teichstraße 65","13407.0","Berlin","gesundheitsamt@reinickendorf.berlin.de","30902945068.0","0","0","0","0","0","0","0","1","1","0","1","1","Badestelle Flughafensee","13.28489","52.56979","","ausgezeichnet","http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-flughafensee.jpg"
14,"0",344322,"B118","Friedrichshagen","Seebad Friedrichshagen","Müggelsee","Treptow Köpenick","Müggelseedamm 216","12587.0","Berlin","Bezirksamt Treptow-Köpenick von Berlin","Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2","Hans-Schmidt-Straße 18","12489.0","Berlin","geshum@ba-tk.berlin.de","30902974773.0","1","0","0","0","0","0","1","0","1","1","0","1","Seebad Friedrichshagen","13.63069","52.44584","http://www.seebad-friedrichshagen.de/","ausgezeichnet","http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-friedrichshagen1.jpg"
16,"0",344323,"B230","Gartenstraße","Flussbad Gartenstrasse","Dahme","Treptow Köpenick","Gartenstraße 42","12557.0","Berlin","Bezirksamt Treptow-Köpenick von Berlin","Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2","Hans-Schmidt-Straße 18","12489.0","Berlin","geshum@ba-tk.berlin.de","30902974773.0","0","0","0","0","0","1","0","0","1","1","0","1","Flussbad Gartenstrasse","13.57573","52.44094","http://www.hotel-pension-berlin.eu/","ausgezeichnet","http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-gartenstra__e2.jpg"
18,"0",344340,"B961","Groß Glienicker See Nord","Badestelle Groß Glienicker See / nördlich","Groß-Glienicker See","Spandau","Uferpromenade 9","14089.0","Berlin","Bezirksamt Spandau von Berlin","Abteilung Soziales und Gesundheit Gesundheitsamt","Carl-Schurz-Str. 2-6","13578.0","Berlin","Ges2@ba-spandau.berlin.de","30902794020.0","1","0","0","0","0","0","0","1","0","0","1","1","Badestelle Groß Glienicker See / nördlich","13.11857","52.47175","","ausgezeichnet","http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-grossglienicke_nord.jpg"
20,"0",344338,"B962","Groß Glienicker See Süd","Badestelle Groß Glienicker See / südlich","Groß-Glienicker See","Spandau","Im Dohl","14089.0","Berlin","Bezirksamt Spandau von Berlin","Abteilung Soziales und Gesundheit Gesundheitsamt","Carl-Schurz-Str. 2-6","13578.0","Berlin","Ges2@ba-spandau.berlin.de","30902794020.0","1","0","0","0","0","0","0","1","0","0","1","1","Badestelle Groß Glienicker See / südlich","13.11463","52.46036","","ausgezeichnet","http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-gro___glienicker_see_s__dlich.jpg"
